"source_uri","embedding_text"
"docs_key://automation/me_c_mk2/alarms/GROUP-AR-CCU1.html","Alarm GROUP-AR-CCU1



GROUP: CCU1 not in Normal mode.

Alarm GROUP-AR-CCU1
===================

GROUP: CCU1 not in Normal mode.

Description
-----------

CCU1 Controller is not in normal operating mode  
  
This group alarm is raised because both EICU A and EICU B report, that the CCU1 Controller is not running in normal mode (App. not running on .. ). Other alarms in the group are raised as a consequence of this condition. To view all alarms in this group: Press +/- at the bottom of the MOP screen.

Cause
-----

- CCU1 Controller is restarting after power off/on.  
- CCU1 Controller in test or configuration mode.  
- CCU1 Controller failure.

Effect
------

CCU1 Controller not ready.  
Redundancy reduced.

Suggested actions
-----------------

Check CCU1 Controller mode status.  
  
If in test or configuration mode: Restart in normal mode.  
  
If no mode is visible: Wait for CCU1 Controller to finish restart.  
  
If the problem persists: Replace CCU1 Controller."
"docs_key://automation/me_c_mk2/alarms/GROUP-ARS-SPSU.html","Alarm GROUP-ARS-SPSU



GROUP: SPSU not in Normal mode.

Alarm GROUP-ARS-SPSU
====================

GROUP: SPSU not in Normal mode.

Description
-----------

SPSU Controller is not in normal operating mode  
  
This group alarm is raised because the SPCU reports, that the SPSU Controller is not running in normal mode (App. Not running on .. ). Other alarms in the group are raised as a consequence of this condition. To view all alarms in this group: Press +/- at the bottom of the MOP screen.

Cause
-----

- SPSU Controller is restarting after power off/on.  
- SPSU Controller in test or configuration mode.  
- SPSU Controller failure.

Effect
------

During dual fuel Operation:  
- Dual fuel stop  
- Engine operation on fuel oil  
  
During fuel oil operation:  
- Dual fuel operation unavailable.

Suggested actions
-----------------

Check SPSU Controller mode status.  
  
If in test or configuration mode: Restart in normal mode.  
  
If no mode is visible: Wait for SPSU Controller to finish restart.  
  
If the problem persists: Replace SPSU Controller."
"docs_key://automation/me_c_mk2/alarms/GROUP-NA-CCU2.html","Alarm GROUP-NA-CCU2



GROUP: CCU2 not available.

Alarm GROUP-NA-CCU2
===================

GROUP: CCU2 not available.

Description
-----------

CCU not available on any network.   
  
This group alarm is raised because both EICU A and EICU B report, that the CCU is disconnected from both network A and B. Other alarms in the group are raised as a consequence of this condition. To view all alarms in this group: Press +/- at the bottom of the MOP screen.

Cause
-----

- CCU is restarting after power off/on, or  
- CCU power is off, or  
- CCU failure, or  
- Both networks are disconnected or failing.

Effect
------

No fuel injection.  
Exhaust valve operation may stop.  
Cylinder lubrication may stop.   
Slowdown is requested.

Suggested actions
-----------------

Check:   
- CCU power   
- CCU mode (LED is green)  
- Network cabling   
  
If the problem persists: Replace failing CCU."
"docs_key://automation/me_c_mk2/alarms/ACU2-8501-B04.html","Alarm ACU2-8501-B04



ACU / I/O Configuration / Ch37,8501-B,Start Air Press. (bar) / Suprv. Ch37,8501-B,Start Air Press.

Alarm ACU2-8501-B04
===================

Suprv. Ch37,8501-B,Start Air Press.

Description
-----------

Sensor signal is out of range.

Cause
-----

- Cabling failure, or  
- Sensor failure, or  
- Supervision resistor across the switch is missing, or   
- ACU2 Controller input channel failure.

Effect
------

Reduced system performance.  
Reduced supervision.  
  
NOTE   
Never ignore this alarm. Safety critical issues may arise.

Suggested actions
-----------------

Check:  
- Cabling  
- Sensor  
- Supervision resistor   
- ACU2 Controller input channel: 'Maintenance' -> 'System View I/O Test'  
  
If the problem persists: Replace ACU2 Controller."
"docs_key://automation/me_c_mk2/alarms/GROUP-N1-CCU5.html","Alarm GROUP-N1-CCU5



GROUP: Net B not connected to CCU5.

Alarm GROUP-N1-CCU5
===================

GROUP: Net B not connected to CCU5.

Description
-----------

CCU5 Controller not connected to network B  
  
This group alarm is raised because both EICU A and EICU B report, that the CCU5 Controller is disconnected from network B. Other alarms in the group are raised as a consequence of this condition. To view all alarms in this group: Press +/- at the bottom of the MOP screen.

Cause
-----

- Cable failure.  
- CCU5 Controller failure.  
- Network failure.

Effect
------

If network B is the only failing network:  
- No immediate effect on engine operation.  
- Redundancy reduced.

Suggested actions
-----------------

If network B is the only failing network, check:  
- CCU5 Controller.  
- Cabling and connectors."
"docs_key://automation/me_c_mk2/alarms/ACU1-123304.html","Alarm ACU1-123304, ACU2-123304, ACU3-123304



ACU\* / I/O Configuration / Ch22,1233,Double Pipe Press. (bar) / Suprv. Ch22,1233,Double Pipe Press.

Alarm ACU1-123304, ACU2-123304, ACU3-123304
===========================================

Suprv. Ch22,1233,Double Pipe Press.

Description
-----------

Sensor signal is out of range.

Cause
-----

- Cabling failure, or  
- Sensor failure, or  
- Supervision resistor across the switch is missing, or   
- ACU1 Controller input channel failure.

Effect
------

Reduced system performance.  
Reduced supervision.  
  
NOTE   
Never ignore this alarm. Safety critical issues may arise.

Suggested actions
-----------------

Check:  
- Cabling  
- Sensor  
- Supervision resistor   
- ACU1 Controller input channel: 'Maintenance' -> 'System View I/O Test'  
  
If the problem persists: Replace ACU1 Controller."
"docs_key://automation/me_c_mk2/alarms/ACU1-IDKEY.html","Alarm ACU1-IDKEY, ACU2-IDKEY, ACU3-IDKEY



ACU\* / System / ID Key corrupt.

Alarm ACU1-IDKEY, ACU2-IDKEY, ACU3-IDKEY
========================================

ID Key corrupt.

Description
-----------

The ACU1 Controller cannot read ID-key data.

Cause
-----

- ID-key is not plugged in, or  
- ID-key data is corrupted, or  
- ID-key hardware failure, or  
- ACU1 Controller failure.

Effect
------

No immediate effect on engine performance.  
The ACU1 Controller may not function correctly after a restart.

Suggested actions
-----------------

If this alarm is active for more than 5 minutes, check that the ID-key is plugged in correctly.   
  
If the problem persists replace, one at a time:  
- ID-key (see instruction manual for configuration instructions)   
- ACU1 Controller."
"docs_key://automation/me_c_mk2/alarms/ECUA-8053-A03.html","Alarm ECUA-8053-A03



ECU / IO / Ch81,8053-A,CR Combi Valve / Suprv. Ch81,8053-A,CR Combi Valve.

Alarm ECUA-8053-A03
===================

Suprv. Ch81,8053-A,CR Combi Valve.

Description
-----------

Channel input is out of range.

Cause
-----

- Cabling failure, or  
- Sensor failure, or  
- ECUA Controller input channel failure.

Effect
------

It might not be possible for ECS to activate the combi valve  
Redundancy reduced.

Suggested actions
-----------------

Check:  
- Cabling  
- ECUA Controller input channel / channel loop current   
  
If the problem persists: Replace ECUA Controller."
"docs_key://automation/me_c_mk2/alarms/ECUA-IRL_VAL01.html","Alarm ECUA-IRL\_VAL01, ECUB-IRL\_VAL01



ECU\* / Propulsion Unit / Governor / Limiters / Index Limiters / Torque Limiter / Index Rate Limiter / Limiter Value (Deviation).

Alarm ECUA-IRL\_VAL01, ECUB-IRL\_VAL01
======================================

Limiter Value (Deviation).

Description
-----------

ECU A and ECU B are generating differing output values.

Cause
-----

Deviation between redundant input signals:  
- to ECU A and ECU B   
OR   
- to ACU 1, 2 and 3   
OR  
- from RCS.

Effect
------

Redundancy reduced.

Suggested actions
-----------------

Restart the engine to reset the alarm  
  
If the problem persists, check:  
- ECU cabling   
- ACU cabling  
- RCS signals."
"docs_key://automation/me_c_mk2/alarms/ECUA-0201XPc29.html","Alarm ECUA-0201XPc29, ECUB-0201XPc29



ECU\* / Propulsion Unit / Engine / AutoTuning / Tuning Calculation / Pmax Supervision / Cyl 10. Pmax above allowed value.

Alarm ECUA-0201XPc29, ECUB-0201XPc29
====================================

Cyl 10. Pmax above allowed value.

Description
-----------

Prise has exceeded Pmax-Pcomp alarm limit.

Cause
-----

Too low Compression Pressure or too high Maximum Pressure.

Effect
------

- Increased wear of cylinder liners  
- Risk of breakage of piston rings  
- Too high load on crosshead bearings.

Suggested actions
-----------------

Immediate Action:  
Reduce ""Pmax Offset"" on actual cylinder unit to lower Prise below alarm limit.  
Troubleshooting:  
1.Check that current Pcomp ""Deviation"" for the actual cylinder unit is within tolerances.  
If necessary then carry out adjustments by changing ""Pcomp/Pscav Offset"" on the actual cylinder unit  
manually or via Auto Tuning (Pcomp Deviation ->Pcomp).  
2.Check that current Pmax ""Deviation"" for the actual cylinder unit is within tolerances.  
If necessary then carry out adjustments by changing ""Pmax Offset"" for the actual cylinder unit  
manually or via Auto Tuning (Pmax Deviation ->Pmax).  
If unable to achieve correct Pcomp (in step 2) then please do not use Auto Tuning functionality and  
keep ""Pmax Offset"" reduced manually on actual cylinder unit below alarm limit."
